ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Name_RU
gadaba,Gadaba,,18.3858,82.7819,pott1240,gdb,гадаба
pengo,Pengo,,19.0621,83.4851,peng1244,peg,пенго
manda,Manda,,20.1384,84.0289,mand1413,mha,манда
kui,Kui,,19.5908,83.9575,kuii1252,kxu,куи
kuvi,Kuvi,,18.9478,83.5839,kuvi1243,kxv,куви
konda,Konda,,18.2763,82.9385,kond1295,kfc,конда
gondi,Gondi,,19.5804,80.4418,nort3258,gon,гонди
kurukh,Kurukh,,23.36,85.33,kuru1301; nepa1253; kisa1261,kru; kxl; xis,курух
malto,Malto,,22.5667,88.3667,kuma1274; saur1249,kmj; mjt,малто
brahui,Brahui,,29.0369,66.5826,brah1256,brh,брахуи
ket,Ket,,62.6236,87.7148,kett1243,ket,кетский
yugh,Yugh,,61.0901,88.1982,yugh1239,yug,югский
kott,Kott,,56.0166,93.0666,kott1239,zko,коттский
ainu,Ainu,,43.2612,142.8222,ainu1240,ain,айнский
nivkh,Nivkh,,51.7814,143.1628,gily1242,niv,нивхский
burushaski,Burushaski,,35.909,74.2153,buru1296,bsk,бурушаски
parthian,Parthian,,33.0936,44.5806,part1239,xpr,парфянский
parachi,Parachi,,34.4658,68.637,para1299,prc,парачи
ormuri,Ormuri,,32.518,69.783,ormu1247,oru,ормури
avestan,Avestan,,29.9808,52.9094,aves1237,ave,авесты
bactrian,Bactrian,,36.758,66.8988,bact1239,xbc,бактрийский
khotanese,Khotanese,,37.103,79.9288,khot1251,kho,хотаносакский
sogdian,Sogdian,,39.6541,66.9597,sogd1245,sog,согдийский
khwaresmian,Khwaresmian,,41.55,60.6333,khwa1238,xco,хорезмийский
pashto,Pashto,,34.5328,69.1658,nucl1276,pus,пашто
munji,Munji,,36.0379,70.6723,munj1244,mnj,мунджанский
wakhi,Wakhi,,35.5167,69.8667,wakh1245,wbl,ваханский
sanglechi,Sanglechi,,36.6585,71.4784,sang1344,sgy,сангличский
ishkashimi,Ishkashimi,,36.6915,71.7668,ishk1246,isk,ишкашимский
shughni,Shughni,,37.5018,71.7925,shug1248,sgh,шугнанский
rushani,Rushani,,37.8705,71.5979,rush1239,,рушанский
khufi,Khufi,,37.8595,71.60373,khuf1238,,хуфский
bartangi,Bartangi,,38.048,71.8286,bart1238,,бартангский
roshorvi,Roshorvi,,38.1086,72.1719,oros1238,,рошорвский
sariqoli,Sariqoli,,37.9463,75.1272,sari1246,srh,сарыкольский
yazghulami,Yazghulami,,38.1982,71.4276,yazg1240,yah,язгулямский
yaghnobi,Yaghnobi,,38.5632,68.4475,yagn1238,yai,ягнобский
ossetian,Ossetian,,42.2238,43.9838,iron1242,oss,осетинский
kashmiri,Kashmiri,,34.5,76,kash1277,kas,кашмири
shina,Shina,,35.35,75.9,shin1264; kohi1248,scl; plk,шина
phalura,Phalura,,35.7264,71.7434,phal1254,phl,пхалура
mayan,Mayan,,35.3151,72.908,indu1241,mvy,майян
garwi,Garwi,,35.2893,72.6168,kala1373,gwc,гарви
torwali,Torwali,,35.5833,72.5,torw1241,trw,торвали
khowar,Khowar,,34.1254,71.5649,khow1242,khw,кховар
kalasha,Kalasha,,35.6684,71.7201,kala1372,kls,калаша
tirahi,Tirahi,,34.3139,70.3729,tira1253,tra,тирахи
pashai,Pashai,,34.66,70.2,nort2666; nort2665; sout2672; sout2671,aee; glh; psi; psh,пашаи
grangali,Grangali,,34.8666,71.1333,gran1245,nli,глангали
shumashti,Shumashti,,34.6108,70.7569,shum1235,sts,шумашти
katarkalai,Katarkalai,,34.4166,70.3333,wota1240,wsv,катаркалаи
gawar,Gawar,,35.3272,71.5847,gava1241,gou,гавар
dameli,Dameli,,35.578,71.8684,dame1241,dml,дамели
kati,Kati,,35.3845,71.3177,kati1270,bsh,кати
waigali,Waigali,,35.1895,71.1941,waig1243,wbk,вайгали
zemiaki,Zemiaki,,34.89,70.75,zemi1238,,земиаки
tregami,Tregami,,35,71.1,treg1243,trm,трегами
ashkun,Ashkun,,34.9973,71.0746,ashk1246,ask,ашкун
prasun,Prasun,,33.9391,67.7099,pras1239,prn,прасун
vedic,Vedic,,31,74,,vsn,ведийский
sanskrit,Sanskrit,,28.6913,77.2548,sans1269,san,санскрит
pali,Pali,,6.9,79.9,pali1273,pli,пали
hindi,Hindi,,28.7,77.2,hind1269,hin,хинди
awadhi,Awadhi,,27.5907,82.4663,awad1243,awa,авадхи
braj,Braj,,26.85,80.91,braj1242,bra,брадж
urdu,Urdu,,33.6666,73.1666,urdu1245,urd,урду
rajasthani,Rajasthani,,26.9166,75.8666,raja1256,raj,раджастхани
banjari,Banjari,,17,77,lamb1269,lmn,банджари
domaaki,Domaaki,,34.9842,75.1101,doma1260,dmk,домааки
bangani,Bangani,,30.5,78.5,garh1243,gbm,бангани
nepali,Nepali,,27.7114,85.3087,nepa1254,npi,непальский
bote,Bote,,27.9208,83.5082,bote1238,bmj,боте
danuwar,Danuwar,,26.9661,86.3223,koch1253,dhw,данувар
darai,Darai,,27.9264,84.331,dara1250,dry,дараи
kumal,Kumal,,27.788,84.548,kumh1238,kra,кумал
tharu,Tharu,,30.33,78.06,dang1260; kath1250; rana1246; chit1274; koch1247; buks1238; sonh1238,thl; tkt; thr; the; thq; tkb; soi,тхару
maithili,Maithili,,25.37,85.13,mait1250,mai,майтхили
bhojpuri,Bhojpuri,,28.1667,84.25,bhoj1244,bho,бходжпури
magahi,Magahi,,25.6,85.1,maga1260,mag,магахи
sadani_sadri,Sadani/Sadri,,23.66,85.1,sadr1248; orao1237,sck; sdr,садани/садри
assamese,Assamese,,26.15,91.77,assa1263,asm,ассамский
bengali,Bengali,,24.3666,88.6,beng1280,ben,бенгальский
rajbanshi_kamta,Rajbanshi/Kamta (in India and Bangladesh),,23.2167,72.6833,rang1265,rkt,раджбанши/камта (в Индии и Бангладеш)
rajbanshi_nepal,Rajbanshi (Nepal),,26.521945,88.038582,rajb1243,rjs,раджбанши (Непал)
oriya,Oriya,,20.27,85.84,oriy1255,ory,ория
punjabi,Punjabi,,31.5497,74.3436,panj1256; west2386,pan; pnb,панджаби
pothohari,Pot(h)ohari,,31,72,paha1251,phr,потхорари
hindko,Hindko,,34,71.32,sout2668; nort2662,hnd; hno,хиндко
sindhi,Sindhi,,24.86,67.01,sind1272; lasi1242; sind1270,snd; lss; sbn,синдхи
parya,Parya,,38.5094,68.0932,pary1242,paq,парья
gujarati,Gujarati,,23.22,72.68,guja1252,guj,гуджарати
saurashtra,Saurashtra,,13.09,80.27,saur1248,saz,саураштра
marathi,Marathi,,18.97,72.82,mara1378,mar,маратхи
konkani,Konkani,,28.6139,77.2089,goan1235,knn,конкани
sinhala,Sinhala,,6.9,79.9164,sinh1246,sin,сингальский
maldivian_dhivehi,Maldivian/Dhivehi,,4.1753,73.5089,dhiv1236,div,мальдивский/дивехи
romani,Romani,,41.01746,28.94053,roma1329,rom,цыганский
domari,Domari,,32.2128,35.2908,doma1258,rmt,домари
lomavren,Lomavren,,40.1833,44.5167,loma1235,rmi,ломаврен
hittite,Hittite,,40.0197,34.6152,hitt1242,oht,хеттский
lydian,Lydian,,40,30,lydi1241,xld,лидийский
palaic,Palaic,,39,35,pala1331,plq,палайский
luwian,Luwian,,40.0197,34.6153,cune1239; hier1240,xlu; hlu,лувийский
lycian,Lycian,,36.517,29.764,lyci1241,xlc,ликийский
milyan,Milyan,,36.356111,29.318611,mily1238,imy,милийский
phrygian,Phrygian,,39.613,31.28,phry1239,xpg,фригийский
classical_armenian,Classical Armenian,,39.2836,43.3719,clas1249,xcl,древнеармянский
standard_eastern_armenian,Standard Eastern Armenian,,40,45,nucl1235,hye,восточноармянский литературный
